StoreID,StoreName,AreaCode
S00476937,JOGA JOG,710006
S00476939,KUNDU STORES,710006
S00476940,ARUN PAN GHARS,710006
S00476974,SAHA UNIVERSE,710006
S00476975,GOPAL VARIETY STORES,710006
S00476986,ANKITA STORESS,710006
S00477087,PRAKASH PAN GHAR,710006
S00477088,DURGA STORE,710006
S00477127,BABA LOKENATH STORE,710006
S00477128,SANKARI PAN GHAR,710006
S00477129,ANONDO BHANDAR,710006
S00477134,SAHANI PAN GHAR,710006
S00477137,KESHORAM AGARWAL,710006
S00477161,DAS STORES,710006
S00477163,KRISHNA MOBILE SARVISE,710006
S00477164,JOGAMAYA BHANDAR,710006
S00477165,PRATIDIN,710006
S00477177,SANTINAGAR STORE,710006
S00477178,BABALOKENATH PAN GHAR,710006
S00477179,MALATI STORE,710006
S00477181,DUTTA VARIETY STORES,710006
S00477183,SHREEJAIN STORE,710006
S00477184,SANTI BHANDAR,710006
S00477185,DUTTA VARIETY CENTER,710006
S00477195,RAJESH PAN GHAR,710006
S00477198,KARTIK TELECOM,710006
S00477199,CHOTON PAN GHAR,710006
S00477214,PAPIYA MANOJIT STORE,710006
S00477230,SHA GENERAL STORE,710006
S00477233,MATRI BHANDARS,710006
S00477234,SHIV SANKAR BHANDAR,710006
S00477235,SHIV SHAKTI BHANDAR,710006
S00477236,TARUN RETAIL,710006
S00477239,JAY MAA SANTOSH STORES,710006
S00477242,BATSHI STORE,710006
S00477244,S PAUL,710006
S00477245,SANDHYA STORE,710006
S00477249,SATAYAN STORE,710006
S00477260,SUNANDA VARIETY,710006
S00477262,TAPASH STORE,710006
S00477267,MOUSUMI STORE,710006
S00477268,SUJOY STORE,710006
S00477271,MAA STORE,710006
S00477276,SHIVAM VARIETY STORE,710006
S00477293,TAPAS STORE,710006
S00477297,MAHARAJ PAN GHAR,710006
S00477307,LAXMI PAN GHARS,710006
S00477318,KUNUDO COMMUNICATION,710006
S00477321,SUKUMAR PAN BHANDAR,710006
S00477324,SHIPRA STORE,710006
S00477327,ANIMIKA PAN GHAR,710006
S00477328,PRITY PAN GHAR,710006
S00477331,GHOSH BHANDAR,710006
S00477332,PAUL PAN BHANDAR,710006
S00477333,DIPAK PAN GHAR,710006
S00477334,NEW SAJMAHAL,710006
S00477341,BHATACHAJEE STORE,710006
S00477342,MANTI BHANDAR,710006
S00040239,KHAN PRO  STORE,700029
S00040241,BAGDADI RESTRA,700029
S00040242,LATEEF PROV STORE,700029
S00040244,NEEDS G S,700029
S00040248,AL AZIZ FOODS,700029
S00040249,ZAFAR ENTERPRISES,700029
S00040252,MAJEED PRO  STORE,700029
S00040254,BASHIR P S,700029
S00040255,REHMAN P S,700029
S00040266,TOUSEEF P S,700029
S00040270,WANI P S,700029
S00040271,FEROZ G S,700029
S00040272,RAINBOW GIS,700029
S00040275,NEW JEHANGIR BAKERY,700029
S00040285,HIGHWAY HALT,700029
S00040286,ADIL TEA STALL,700029
S00040288,ISAQ TEA STALL,700029
S00040292,RAMZAN G S,700029
S00477410,MANGLESOORI STORE,710006
S00477421,PAN POINT,710006
S00477433,RICK PAN GHAR,710006
S00477434,SUJOY PAN GHAR,710006
S00477437,SARKAR PAN GHAR,710006
S00477449,DEV PAN GHAR,710006
S00477472,GITANJALI STORESS,710006
S00477474,SHING STORES,710006
S00477483,SAMITA PAN GHAR,710006
S00477486,NARAYAN BHANDAR,710006
S00477490,GORI  VARIETY,710006
S00477491,BHOLE BABA STORE,710006
S00477508,DADA BHAI PAN GHARS,710006
S00477535,BINITA STORES,710006
S00477557,BABA LOKNATH PAN GHAR,710006
S00477573,SHYAMA BHANDAR,710006
S00477576,RASHMANI BHANDAR,710006
S00477592,BIKASH STORE,710006
S00477603,MAA KOWSALYA,710006
S00477610,KAMAKHYA BHANDAR,710006
S00477619,GOPAL STORES,710006
S00477655,CHOWRASIA PAN GHARS,710006
S00477666,BIDYALAL SHA,710006
S00477672,DIP STORE,710006
S00477676,JAISWAL STORES,710006
S00477678,BIRENDRA SHA,710006
S00477680,SRI DURGA SHOPPE,710006
S00477683,SAHA COMMUNICATION,710006
S00477684,NANDINI STORE,710006
S00477696,HIRA PAN GHAR,710006
S00477699,PRADHAN ROY STORE,710006
S00477700,GAYETRI STORE,710006
S00477710,PRASAD STORES,710006
S00477739,ZINAT STORE,710006
S00477762,SINGH STORE 1,710006
